attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,curent,curent,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,77,77,Total features in each format
METADATA_TOTAL_COLUMNS,33,32,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_curvel,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_geometry,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_orient,PRESENT,PRESENT,Column presence comparison
COLUMN_perend,PRESENT,PRESENT,Column presence comparison
COLUMN_persta,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_curvel,37/77 (48.1%),37/77 (48.1%),Property completeness comparison
PROP_COMPLETENESS_datend,0/77 (0.0%),0/77 (0.0%),Property completeness comparison
PROP_COMPLETENESS_datsta,0/77 (0.0%),0/77 (0.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,0/77 (0.0%),0/77 (0.0%),Property completeness comparison
PROP_COMPLETENESS_fidn,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_geometry,77/77 (100.0%),N/A,Property completeness comparison - MISMATCH
PROP_COMPLETENESS_grup,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_inform,40/77 (51.9%),40/77 (51.9%),Property completeness comparison
PROP_COMPLETENESS_lnam,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_lnam_refs,0/77 (0.0%),0/77 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ninfom,0/77 (0.0%),0/77 (0.0%),Property completeness comparison
PROP_COMPLETENESS_nobjnm,0/77 (0.0%),0/77 (0.0%),Property completeness comparison
PROP_COMPLETENESS_objl,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_objnam,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ogc_fid,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_orient,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_perend,0/77 (0.0%),0/77 (0.0%),Property completeness comparison
PROP_COMPLETENESS_persta,0/77 (0.0%),0/77 (0.0%),Property completeness comparison
PROP_COMPLETENESS_prim,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_rcid,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_recdat,0/77 (0.0%),0/77 (0.0%),Property completeness comparison
PROP_COMPLETENESS_recind,0/77 (0.0%),0/77 (0.0%),Property completeness comparison
PROP_COMPLETENESS_rver,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_scamax,0/77 (0.0%),0/77 (0.0%),Property completeness comparison
PROP_COMPLETENESS_scamin,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sordat,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sorind,77/77 (100.0%),77/77 (100.0%),Property completeness comparison
