attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,cgusta,cgusta,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,1,1,Total features in each format
METADATA_TOTAL_COLUMNS,33,33,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_perend,PRESENT,PRESENT,Column presence comparison
COLUMN_persta,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_datend,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_datsta,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_fidn,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_grup,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_inform,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_lnam,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_lnam_refs,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ninfom,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_nobjnm,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ntxtds,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_objl,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_objnam,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ogc_fid,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_perend,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_persta,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_prim,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_rcid,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_recdat,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_recind,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_rver,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_scamax,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_scamin,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sordat,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sorind,1/1 (100.0%),1/1 (100.0%),Property completeness comparison
PROP_COMPLETENESS_status,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
PROP_COMPLETENESS_txtdsc,0/1 (0.0%),0/1 (0.0%),Property completeness comparison
