attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,sbdare,sbdare,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,846,846,Total features in each format
METADATA_TOTAL_COLUMNS,33,32,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_colour,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_geometry,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_natqua,PRESENT,PRESENT,Column presence comparison
COLUMN_natsur,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_watlev,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_colour,6/846 (0.7%),6/846 (0.7%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,0/846 (0.0%),0/846 (0.0%),Property completeness comparison
PROP_COMPLETENESS_fidn,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_geometry,846/846 (100.0%),N/A,Property completeness comparison - MISMATCH
PROP_COMPLETENESS_grup,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_inform,1/846 (0.1%),1/846 (0.1%),Property completeness comparison
PROP_COMPLETENESS_lnam,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_lnam_refs,0/846 (0.0%),0/846 (0.0%),Property completeness comparison
PROP_COMPLETENESS_natqua,54/846 (6.4%),54/846 (6.4%),Property completeness comparison
PROP_COMPLETENESS_natsur,814/846 (96.2%),814/846 (96.2%),Property completeness comparison
PROP_COMPLETENESS_ninfom,0/846 (0.0%),0/846 (0.0%),Property completeness comparison
PROP_COMPLETENESS_nobjnm,0/846 (0.0%),0/846 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ntxtds,0/846 (0.0%),0/846 (0.0%),Property completeness comparison
PROP_COMPLETENESS_objl,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_objnam,0/846 (0.0%),0/846 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ogc_fid,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_prim,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_rcid,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_recdat,0/846 (0.0%),0/846 (0.0%),Property completeness comparison
PROP_COMPLETENESS_recind,0/846 (0.0%),0/846 (0.0%),Property completeness comparison
PROP_COMPLETENESS_rver,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_scamax,0/846 (0.0%),0/846 (0.0%),Property completeness comparison
PROP_COMPLETENESS_scamin,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sordat,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_sorind,846/846 (100.0%),846/846 (100.0%),Property completeness comparison
PROP_COMPLETENESS_txtdsc,0/846 (0.0%),0/846 (0.0%),Property completeness comparison
PROP_COMPLETENESS_watlev,46/846 (5.4%),46/846 (5.4%),Property completeness comparison
