attribute,gpkg,postgis,notes
METADATA_LAYER_NAME,unsare,unsare,Layer comparison between gpkg and postgis
METADATA_TOTAL_FEATURES,5,5,Total features in each format
METADATA_TOTAL_COLUMNS,26,26,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,5/5 (100.0%),5/5 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_dsnm,5/5 (100.0%),5/5 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_edtn,5/5 (100.0%),5/5 (100.0%),Property completeness comparison
PROP_COMPLETENESS_dsid_updn,5/5 (100.0%),5/5 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ffpt_rind,0/5 (0.0%),0/5 (0.0%),Property completeness comparison
PROP_COMPLETENESS_fidn,5/5 (100.0%),5/5 (100.0%),Property completeness comparison
PROP_COMPLETENESS_fids,5/5 (100.0%),5/5 (100.0%),Property completeness comparison
PROP_COMPLETENESS_grup,5/5 (100.0%),5/5 (100.0%),Property completeness comparison
PROP_COMPLETENESS_inform,0/5 (0.0%),0/5 (0.0%),Property completeness comparison
PROP_COMPLETENESS_lnam,5/5 (100.0%),5/5 (100.0%),Property completeness comparison
PROP_COMPLETENESS_lnam_refs,0/5 (0.0%),0/5 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ninfom,0/5 (0.0%),0/5 (0.0%),Property completeness comparison
PROP_COMPLETENESS_ntxtds,0/5 (0.0%),0/5 (0.0%),Property completeness comparison
PROP_COMPLETENESS_objl,5/5 (100.0%),5/5 (100.0%),Property completeness comparison
PROP_COMPLETENESS_ogc_fid,5/5 (100.0%),5/5 (100.0%),Property completeness comparison
PROP_COMPLETENESS_prim,5/5 (100.0%),5/5 (100.0%),Property completeness comparison
PROP_COMPLETENESS_rcid,5/5 (100.0%),5/5 (100.0%),Property completeness comparison
PROP_COMPLETENESS_recdat,0/5 (0.0%),0/5 (0.0%),Property completeness comparison
PROP_COMPLETENESS_recind,0/5 (0.0%),0/5 (0.0%),Property completeness comparison
PROP_COMPLETENESS_rver,5/5 (100.0%),5/5 (100.0%),Property completeness comparison
PROP_COMPLETENESS_scamax,0/5 (0.0%),0/5 (0.0%),Property completeness comparison
PROP_COMPLETENESS_scamin,0/5 (0.0%),0/5 (0.0%),Property completeness comparison
PROP_COMPLETENESS_sordat,3/5 (60.0%),3/5 (60.0%),Property completeness comparison
PROP_COMPLETENESS_sorind,3/5 (60.0%),3/5 (60.0%),Property completeness comparison
PROP_COMPLETENESS_txtdsc,0/5 (0.0%),0/5 (0.0%),Property completeness comparison
