layer_name,missing_in,status
navlne,postgis,MISSING
lights,postgis,MISSING
m_covr,postgis,MISSING
pipsol,postgis,MISSING
bridge,postgis,MISSING
damcon,postgis,MISSING
hrbfac,postgis,MISSING
siltnk,postgis,MISSING
prcare,postgis,MISSING
fairwy,postgis,MISSING
cblohd,postgis,MISSING
canals,postgis,MISSING
airare,postgis,MISSING
m_qual,postgis,MISSING
isolatednode,postgis,MISSING
feryrt,postgis,MISSING
ctsare,postgis,MISSING
ofsplf,postgis,MISSING
pilpnt,postgis,MISSING
rdosta,postgis,MISSING
daymar,postgis,MISSING
connectednode,postgis,MISSING
slotop,postgis,MISSING
cblare,postgis,MISSING
pipare,postgis,MISSING
mipare,postgis,MISSING
topmar,postgis,MISSING
ponton,postgis,MISSING
cblsub,postgis,MISSING
boyspp,postgis,MISSING
conzne,postgis,MISSING
seaare,postgis,MISSING
m_npub,postgis,MISSING
rectrc,postgis,MISSING
coalne,postgis,MISSING
dsid,postgis,MISSING
fshzne,postgis,MISSING
lndelv,postgis,MISSING
marcul,postgis,MISSING
curent,postgis,MISSING
lakare,postgis,MISSING
boysaw,postgis,MISSING
c_aggr,postgis,MISSING
cgusta,postgis,MISSING
rtpbcn,postgis,MISSING
tesare,postgis,MISSING
soundg,postgis,MISSING
splare,postgis,MISSING
morfac,postgis,MISSING
wrecks,postgis,MISSING
lndmrk,postgis,MISSING
pilbop,postgis,MISSING
obstrn,postgis,MISSING
bcnspp,postgis,MISSING
wattur,postgis,MISSING
resare,postgis,MISSING
wedklp,postgis,MISSING
dmpgrd,postgis,MISSING
tsslpt,postgis,MISSING
magvar,postgis,MISSING
depcnt,postgis,MISSING
admare,postgis,MISSING
bcnlat,postgis,MISSING
c_asso,postgis,MISSING
slogrd,postgis,MISSING
rivers,postgis,MISSING
buaare,postgis,MISSING
lndrgn,postgis,MISSING
ctnare,postgis,MISSING
tsezne,postgis,MISSING
unsare,postgis,MISSING
buisgl,postgis,MISSING
edge,postgis,MISSING
fogsig,postgis,MISSING
sbdare,postgis,MISSING
uwtroc,postgis,MISSING
face,postgis,MISSING
depare,postgis,MISSING
m_nsys,postgis,MISSING
boylat,postgis,MISSING
lndare,postgis,MISSING
achare,postgis,MISSING
slcons,postgis,MISSING
tssbnd,postgis,MISSING
exezne,postgis,MISSING
rdocal,postgis,MISSING
