attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,rivers,rivers,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,247,247,Total features in each format
METADATA_TOTAL_COLUMNS,29,30,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,PRESENT,Column presence comparison
COLUMN_geometry,MISSING,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_dsid_dsnm,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_dsid_edtn,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_dsid_updn,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_ffpt_rind,0/247 (0.0%),0/247 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_fidn,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_fids,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_geometry,N/A,247/247 (100.0%),Property completeness comparison
PROP_COMPLETENESS_grup,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_inform,0/247 (0.0%),0/247 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_lnam,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_lnam_refs,0/247 (0.0%),0/247 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_ninfom,0/247 (0.0%),0/247 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_nobjnm,0/247 (0.0%),0/247 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_ntxtds,0/247 (0.0%),0/247 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_objl,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_objnam,57/247 (23.1%),57/247 (23.1%),Prop Values MATCH (23.1%)
PROP_COMPLETENESS_ogc_fid,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_prim,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_rcid,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_recdat,0/247 (0.0%),0/247 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_recind,0/247 (0.0%),0/247 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_rver,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_scamax,0/247 (0.0%),0/247 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_scamin,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_sordat,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_sorind,247/247 (100.0%),247/247 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_status,71/247 (28.7%),71/247 (28.7%),Prop Values MATCH (28.7%)
PROP_COMPLETENESS_txtdsc,0/247 (0.0%),0/247 (0.0%),Prop Values MATCH (0.0%)
