attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,boylat,boylat,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,28,28,Total features in each format
METADATA_TOTAL_COLUMNS,44,43,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_boyshp,PRESENT,PRESENT,Column presence comparison
COLUMN_catlam,PRESENT,PRESENT,Column presence comparison
COLUMN_colour,PRESENT,PRESENT,Column presence comparison
COLUMN_colpat,PRESENT,PRESENT,Column presence comparison
COLUMN_conrad,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,MISSING,Column presence comparison
COLUMN_geometry,PRESENT,MISSING,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_marsys,PRESENT,PRESENT,Column presence comparison
COLUMN_natcon,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_perend,PRESENT,PRESENT,Column presence comparison
COLUMN_persta,PRESENT,PRESENT,Column presence comparison
COLUMN_picrep,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verlen,PRESENT,PRESENT,Column presence comparison
COLUMN_wkb_geometry,MISSING,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_boyshp,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_catlam,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_colour,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_colpat,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_conrad,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_datend,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_datsta,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_dsid_dsnm,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_dsid_edtn,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_dsid_updn,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_ffpt_rind,26/28 (92.9%),26/28 (92.9%),Prop Values MATCH (92.9%)
PROP_COMPLETENESS_fidn,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_fids,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_geometry,28/28 (100.0%),N/A,Property completeness comparison
PROP_COMPLETENESS_grup,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_inform,1/28 (3.6%),1/28 (3.6%),Prop Values MATCH (3.6%)
PROP_COMPLETENESS_lnam,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_lnam_refs,26/28 (92.9%),26/28 (92.9%),Prop Values MATCH (92.9%)
PROP_COMPLETENESS_marsys,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_natcon,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_ninfom,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_nobjnm,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_ntxtds,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_objl,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_objnam,27/28 (96.4%),27/28 (96.4%),Prop Values MATCH (96.4%)
PROP_COMPLETENESS_ogc_fid,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_perend,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_persta,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_picrep,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_prim,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_rcid,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_recdat,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_recind,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_rver,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_scamax,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_scamin,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_sordat,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_sorind,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_status,28/28 (100.0%),28/28 (100.0%),Prop Values MATCH (100.0%)
PROP_COMPLETENESS_txtdsc,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_veracc,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
PROP_COMPLETENESS_verlen,0/28 (0.0%),0/28 (0.0%),Prop Values MATCH (0.0%)
