attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,coalne,coalne,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,1604,1604,Total features in each format
METADATA_GEOMETRY_FEATURES,1604,1604,Features with non-null geometry
METADATA_TOTAL_COLUMNS,36,37,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_catcoa,PRESENT,PRESENT,Column presence comparison
COLUMN_colour,PRESENT,PRESENT,Column presence comparison
COLUMN_conrad,PRESENT,PRESENT,Column presence comparison
COLUMN_convis,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_elevat,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,PRESENT,Column presence comparison
COLUMN_geometry,MISSING,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_picrep,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,1604/1604 (100.0%),1604/1604 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_catcoa,96/1604 (6.0%),96/1604 (6.0%),Values Match (6.0%)
PROP_COMPLETENESS_colour,0/1604 (0.0%),0/1604 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_conrad,0/1604 (0.0%),0/1604 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_convis,0/1604 (0.0%),0/1604 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_dsid_dsnm,1604/1604 (100.0%),1604/1604 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,1604/1604 (100.0%),1604/1604 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,1604/1604 (100.0%),1604/1604 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_elevat,0/1604 (0.0%),0/1604 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ffpt_rind,0/1604 (0.0%),0/1604 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_fidn,1604/1604 (100.0%),1604/1604 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_fids,1604/1604 (100.0%),1604/1604 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_geometry,N/A,1604/1604 (100.0%),Property completeness comparison
PROP_COMPLETENESS_grup,1604/1604 (100.0%),1604/1604 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_inform,0/1604 (0.0%),0/1604 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_lnam,1604/1604 (100.0%),1604/1604 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam_refs,0/1604 (0.0%),0/1604 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ninfom,0/1604 (0.0%),0/1604 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_nobjnm,0/1604 (0.0%),0/1604 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ntxtds,0/1604 (0.0%),0/1604 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_objl,1604/1604 (100.0%),1604/1604 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_objnam,0/1604 (0.0%),0/1604 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ogc_fid,1604/1604 (100.0%),1604/1604 (100.0%),Values Match (100.0%)
