attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,siltnk,siltnk,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,16,16,Total features in each format
METADATA_GEOMETRY_FEATURES,16,16,Features with non-null geometry
METADATA_TOTAL_COLUMNS,44,45,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_buishp,PRESENT,PRESENT,Column presence comparison
COLUMN_catsil,PRESENT,PRESENT,Column presence comparison
COLUMN_colour,PRESENT,PRESENT,Column presence comparison
COLUMN_colpat,PRESENT,PRESENT,Column presence comparison
COLUMN_condtn,PRESENT,PRESENT,Column presence comparison
COLUMN_conrad,PRESENT,PRESENT,Column presence comparison
COLUMN_convis,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_elevat,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,PRESENT,Column presence comparison
COLUMN_geometry,MISSING,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_height,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_natcon,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_picrep,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_prodct,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
COLUMN_verlen,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,16/16 (100.0%),16/16 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_buishp,0/16 (0.0%),0/16 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_catsil,16/16 (100.0%),16/16 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_colour,2/16 (12.5%),2/16 (12.5%),Values Match (12.5%)
PROP_COMPLETENESS_colpat,1/16 (6.2%),1/16 (6.2%),Values Match (6.2%)
PROP_COMPLETENESS_condtn,0/16 (0.0%),0/16 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_conrad,0/16 (0.0%),0/16 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_convis,15/16 (93.8%),15/16 (93.8%),Values Match (93.8%)
PROP_COMPLETENESS_dsid_dsnm,16/16 (100.0%),16/16 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,16/16 (100.0%),16/16 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,16/16 (100.0%),16/16 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_elevat,0/16 (0.0%),0/16 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ffpt_rind,2/16 (12.5%),2/16 (12.5%),Values Match (12.5%)
PROP_COMPLETENESS_fidn,16/16 (100.0%),16/16 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_fids,16/16 (100.0%),16/16 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_geometry,N/A,16/16 (100.0%),Property completeness comparison
PROP_COMPLETENESS_grup,16/16 (100.0%),16/16 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_height,0/16 (0.0%),0/16 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_inform,2/16 (12.5%),2/16 (12.5%),Values Match (12.5%)
PROP_COMPLETENESS_lnam,16/16 (100.0%),16/16 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam_refs,2/16 (12.5%),2/16 (12.5%),Values Match (12.5%)
PROP_COMPLETENESS_natcon,1/16 (6.2%),1/16 (6.2%),Values Match (6.2%)
PROP_COMPLETENESS_ninfom,0/16 (0.0%),0/16 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_nobjnm,0/16 (0.0%),0/16 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ntxtds,0/16 (0.0%),0/16 (0.0%),Values Match (0.0%)
