attribute,gpkg,spatialite,notes
METADATA_LAYER_NAME,bcnspp,bcnspp,Layer comparison between gpkg and spatialite
METADATA_TOTAL_FEATURES,99,99,Total features in each format
METADATA_GEOMETRY_FEATURES,99,99,Features with non-null geometry
METADATA_TOTAL_COLUMNS,48,49,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_bcnshp,PRESENT,PRESENT,Column presence comparison
COLUMN_catspm,PRESENT,PRESENT,Column presence comparison
COLUMN_colour,PRESENT,PRESENT,Column presence comparison
COLUMN_colpat,PRESENT,PRESENT,Column presence comparison
COLUMN_condtn,PRESENT,PRESENT,Column presence comparison
COLUMN_conrad,PRESENT,PRESENT,Column presence comparison
COLUMN_convis,PRESENT,PRESENT,Column presence comparison
COLUMN_datend,PRESENT,PRESENT,Column presence comparison
COLUMN_datsta,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_elevat,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_geom,PRESENT,PRESENT,Column presence comparison
COLUMN_geometry,MISSING,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_height,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_marsys,PRESENT,PRESENT,Column presence comparison
COLUMN_natcon,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_perend,PRESENT,PRESENT,Column presence comparison
COLUMN_persta,PRESENT,PRESENT,Column presence comparison
COLUMN_picrep,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_status,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
COLUMN_veracc,PRESENT,PRESENT,Column presence comparison
COLUMN_verdat,PRESENT,PRESENT,Column presence comparison
COLUMN_verlen,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_bcnshp,97/99 (98.0%),97/99 (98.0%),Values Match (98.0%)
PROP_COMPLETENESS_catspm,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_colour,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_colpat,12/99 (12.1%),12/99 (12.1%),Values Match (12.1%)
PROP_COMPLETENESS_condtn,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_conrad,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_convis,4/99 (4.0%),4/99 (4.0%),Values Match (4.0%)
PROP_COMPLETENESS_datend,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_datsta,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_dsid_dsnm,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_elevat,1/99 (1.0%),1/99 (1.0%),Values Match (1.0%)
PROP_COMPLETENESS_ffpt_rind,91/99 (91.9%),91/99 (91.9%),Values Match (91.9%)
PROP_COMPLETENESS_fidn,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_fids,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_geometry,N/A,99/99 (100.0%),Property completeness comparison
PROP_COMPLETENESS_grup,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_height,34/99 (34.3%),34/99 (34.3%),Values Match (34.3%)
PROP_COMPLETENESS_inform,37/99 (37.4%),37/99 (37.4%),Values Match (37.4%)
PROP_COMPLETENESS_lnam,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam_refs,91/99 (91.9%),91/99 (91.9%),Values Match (91.9%)
PROP_COMPLETENESS_marsys,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_natcon,30/99 (30.3%),30/99 (30.3%),Values Match (30.3%)
PROP_COMPLETENESS_ninfom,1/99 (1.0%),1/99 (1.0%),Values Match (1.0%)
PROP_COMPLETENESS_nobjnm,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ntxtds,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_objl,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_objnam,86/99 (86.9%),86/99 (86.9%),Values Match (86.9%)
PROP_COMPLETENESS_ogc_fid,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_perend,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_persta,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_picrep,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_prim,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_rcid,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_recdat,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_recind,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_rver,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_scamax,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_scamin,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sordat,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sorind,99/99 (100.0%),99/99 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_status,80/99 (80.8%),80/99 (80.8%),Values Match (80.8%)
PROP_COMPLETENESS_txtdsc,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_veracc,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_verdat,0/99 (0.0%),0/99 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_verlen,5/99 (5.1%),5/99 (5.1%),Values Match (5.1%)
