attribute,spatialite,postgis,notes
METADATA_LAYER_NAME,admare,admare,Layer comparison between spatialite and postgis
METADATA_TOTAL_FEATURES,22,22,Total features in each format
METADATA_GEOMETRY_FEATURES,22,22,Features with non-null geometry
METADATA_TOTAL_COLUMNS,32,31,Total columns in each format
SEPARATOR_COLUMN_PRESENCE,---,---,Column presence analysis follows
COLUMN_agen,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_dsnm,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_edtn,PRESENT,PRESENT,Column presence comparison
COLUMN_dsid_updn,PRESENT,PRESENT,Column presence comparison
COLUMN_ffpt_rind,PRESENT,PRESENT,Column presence comparison
COLUMN_fidn,PRESENT,PRESENT,Column presence comparison
COLUMN_fids,PRESENT,PRESENT,Column presence comparison
COLUMN_grup,PRESENT,PRESENT,Column presence comparison
COLUMN_inform,PRESENT,PRESENT,Column presence comparison
COLUMN_jrsdtn,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam,PRESENT,PRESENT,Column presence comparison
COLUMN_lnam_refs,PRESENT,PRESENT,Column presence comparison
COLUMN_nation,PRESENT,PRESENT,Column presence comparison
COLUMN_ninfom,PRESENT,PRESENT,Column presence comparison
COLUMN_nobjnm,PRESENT,PRESENT,Column presence comparison
COLUMN_ntxtds,PRESENT,PRESENT,Column presence comparison
COLUMN_objl,PRESENT,PRESENT,Column presence comparison
COLUMN_objnam,PRESENT,PRESENT,Column presence comparison
COLUMN_ogc_fid,PRESENT,PRESENT,Column presence comparison
COLUMN_picrep,PRESENT,PRESENT,Column presence comparison
COLUMN_prim,PRESENT,PRESENT,Column presence comparison
COLUMN_rcid,PRESENT,PRESENT,Column presence comparison
COLUMN_recdat,PRESENT,PRESENT,Column presence comparison
COLUMN_recind,PRESENT,PRESENT,Column presence comparison
COLUMN_rver,PRESENT,PRESENT,Column presence comparison
COLUMN_scamax,PRESENT,PRESENT,Column presence comparison
COLUMN_scamin,PRESENT,PRESENT,Column presence comparison
COLUMN_sordat,PRESENT,PRESENT,Column presence comparison
COLUMN_sorind,PRESENT,PRESENT,Column presence comparison
COLUMN_txtdsc,PRESENT,PRESENT,Column presence comparison
SEPARATOR_PROPERTY_COMPLETENESS,---,---,Property completeness analysis (non-empty / total)
PROP_COMPLETENESS_agen,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_dsnm,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_edtn,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_dsid_updn,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_ffpt_rind,0/22 (0.0%),0/22 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_fidn,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_fids,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_grup,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_inform,7/22 (31.8%),7/22 (31.8%),Values Match (31.8%)
PROP_COMPLETENESS_jrsdtn,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_lnam_refs,0/22 (0.0%),0/22 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_nation,15/22 (68.2%),15/22 (68.2%),Values Match (68.2%)
PROP_COMPLETENESS_ninfom,0/22 (0.0%),0/22 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_nobjnm,0/22 (0.0%),0/22 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_ntxtds,0/22 (0.0%),0/22 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_objl,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_objnam,7/22 (31.8%),7/22 (31.8%),Values Match (31.8%)
PROP_COMPLETENESS_ogc_fid,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_picrep,0/22 (0.0%),0/22 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_prim,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_rcid,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_recdat,0/22 (0.0%),0/22 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_recind,0/22 (0.0%),0/22 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_rver,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_scamax,0/22 (0.0%),0/22 (0.0%),Values Match (0.0%)
PROP_COMPLETENESS_scamin,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sordat,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_sorind,22/22 (100.0%),22/22 (100.0%),Values Match (100.0%)
PROP_COMPLETENESS_txtdsc,13/22 (59.1%),13/22 (59.1%),Values Match (59.1%)
